流动资产：
货币资金	七、 1	26,891,700,248.67	16,856,199,437.51
结算备付金			
拆出资金			
交易性金融资产			
衍生金融资产			
应收票据			
应收账款	七、 5	151,301,004.74	105,986,152.95
应收款项融资			
预付款项	七、 7	398,168,967.53	347,989,025.79
应收保费			
应收分保账款			
应收分保合同准备金			
其他应收款	七、 8	862,360,771.43	839,526,112.90
其中： 应收利息			
应收股利	七、 8	1,500,000.00	1,500,000.00
买入返售金融资产			
存货	七、 9	27,926,480,059.82	19,724,698,049. 15
合同资产			
持有待售资产			
一年内到期的非流动资产			
其他流动资产	七、 13	975,469,345.23	667,294,880.70
流动资产合计		57,205,480,397.42	38,541,693,659.00
非流动资产：
发放贷款和垫款			
债权投资			
其他债权投资			
长期应收款			
长期股权投资	七、 17	1,970,098,942.80	991,693,889.45
其他权益工具投资			
其他非流动金融资产			
投资性房地产	七、 20	1,387,127,403.08	1,196,813,455.52
固定资产	七、 21	5,434,009,081.35	1,843,296,342.40
在建工程	七、 22	1,852,282,200.57	2,889,942,998.99
生产性生物资产			
油气资产			
使用权资产	七、 25	2,086,545,797.42	4,282,213,305.99
无形资产	七、 26	2,458,039,051.77	2,401,318,054.41
开发支出	七、 27	1,883,125. 11	
商誉	七、 28	822,460,130. 18	822,460,130. 18
长期待摊费用	七、 29	1,101,649,543.44	812,476,540.02
递延所得税资产	七、 30	1,017,809,092.32	1,121,545,152.73


------

